trip_id,arrival_time,departure_time,stop_id,stop_sequence
REDA1, 06:30:00, 06:30:00,HA,2
REDA2, 07:30:00, 07:30:00,CS,3
REDA1, 07:35:00, 07:35:00,LP,4
REDA1, 08:05:00, 08:05:00,HA,5
REDA2, 09:00:00, 09:00:00,CS,6
REDA1, 09:00:00, 09:00:00,LP,7
REDA1, 09:45:00, 09:45:00,RO,8
REDA2, 10:30:00, 10:30:00,CS,9
REDA1, 10:30:00, 10:30:00,LP,10
REDA1, 11:15:00, 11:15:00,RO,11
REDA2, 12:00:00, 12:00:00,CS,12
REDA1, 12:05:00, 12:05:00,LP,13
REDA1, 12:40:00, 12:40:00,HA,14
REDA2, 13:35:00, 13:35:00,CS,15
REDA1, 13:40:00, 13:40:00,LP,16
REDA1, 14:05:00, 14:05:00,HA,17
REDA2, 15:00:00, 15:00:00,CS,18
REDA1, 15:10:00, 15:10:00,LP,19
REDA1, 15:50:00, 15:50:00,RO,20
REDA2, 16:35:00, 16:35:00,CS,21
REDA1, 16:40:00, 16:40:00,LP,22
REDA1, 17:10:00, 17:10:00,HA,23
REDA2, 18:00:00, 18:00:00,CS,24
REDA1, 18:10:00, 18:10:00,LP,25
REDA1, 18:40:00, 18:40:00,HA,26
REDA2, 19:35:00, 19:35:00,CS,27
REDA1, 19:35:00, 19:35:00,LP,28
REDA1, 20:15:00, 20:15:00,RO,29
REDA2, 21:05:00, 21:05:00,CS,30
REDB1, 06:00:00, 06:00:00,CS,1
REDB1, 06:40:00, 06:40:00,HA,2
REDB2, 07:30:00, 07:30:00,LP,3
REDB1, 07:35:00, 07:35:00,CS,4
REDB1, 08:20:00, 08:20:00,HA,5
REDB2, 08:55:00, 08:55:00,LP,6
REDB1, 09:05:00, 09:05:00,CS,7
REDB1, 09:30:00, 09:30:00,RO,8
REDB2, 10:25:00, 10:25:00,LP,9
REDB1, 10:35:00, 10:35:00,CS,10
REDB1, 11:20:00, 11:20:00,HA,11
REDB2, 12:00:00, 12:00:00,LP,12
REDB1, 12:10:00, 12:10:00,CS,13
REDB1, 13:00:00, 13:00:00,HA,14
REDB2, 13:35:00, 13:35:00,LP,15
REDB1, 13:40:00, 13:40:00,CS,16
REDB1, 14:10:00, 14:10:00,RO,17
REDB2, 15:05:00, 15:05:00,LP,18
REDB1, 15:10:00, 15:10:00,CS,19
REDB1, 16:00:00, 16:00:00,HA,20
REDB2, 16:35:00, 16:35:00,LP,21
REDB1, 16:40:00, 16:40:00,CS,22
REDB1, 17:10:00, 17:10:00,RO,23
REDB2, 18:05:00, 18:05:00,LP,24
REDB1, 18:10:00, 18:10:00,CS,25
REDB1, 19:00:00, 19:00:00,HA,26
REDB2, 19:30:00, 19:30:00,LP,27
REDB1, 19:40:00, 19:40:00,CS,28
REDB1, 20:10:00, 20:10:00,RO,29
REDB2, 21:10:00, 21:10:00,LP,30
